int                 	int                 
ID                  	main                
(                   	(                   
ID                  	void                
)                   	)                   
{                   	{                   
int                 	int                 
ID                  	a                   
;                   	;                   
for                 	for                 
(                   	(                   
ID                  	a                   
{                   	{                   
ID                  	b                   
}                   	}                   
do                  	do                  
{                   	{                   
ID                  	a                   
}                   	}                   
ID                  	whiles              
(                   	(                   
ID                  	s                   
ID                  	a                   
ID                  	switch              
(                   	(                   
ID                  	a                   
)                   	)                   
{                   	{                   
ID                  	case                
number              	0                   
:                   	:                   
ID                  	a                   
ID                  	break               
;                   	;                   
ID                  	case                
number              	2                   
:                   	:                   
ID                  	a                   
ID                  	break               
;                   	;                   
}                   	}                   
}                   	}                   
int                 	int                 
ID                  	fun                 
(                   	(                   
int                 	int                 
ID                  	a                   
,                   	,                   
int                 	int                 
ID                  	b                   
[                   	[                   
]                   	]                   
)                   	)                   
{                   	{                   
if                  	if                  
(                   	(                   
ID                  	a                   
ID                  	return              
ID                  	a                   
;                   	;                   
else                	else                
if                  	if                  
(                   	(                   
ID                  	a                   
doubleword          	==                  
ID                  	b                   
)                   	)                   
ID                  	return              
ID                  	b                   
;                   	;                   
else                	else                
ID                  	return              
number              	0                   
;                   	;                   
}                   	}                   
