{                   	{                   
int                 	int                 
ID                  	a                   
;                   	;                   
for                 	for                 
(                   	(                   
ID                  	a                   
=                   	=                   
number              	1                   
;                   	;                   
ID                  	a                   
<                   	<                   
number              	3                   
;                   	;                   
ID                  	a                   
=                   	=                   
ID                  	a                   
+                   	+                   
number              	1                   
)                   	)                   
{                   	{                   
int                 	int                 
ID                  	b                   
;                   	;                   
ID                  	b                   
=                   	=                   
ID                  	a                   
+                   	+                   
number              	1                   
;                   	;                   
}                   	}                   
do                  	do                  
{                   	{                   
ID                  	a                   
=                   	=                   
ID                  	a                   
+                   	+                   
number              	1                   
;                   	;                   
}                   	}                   
ID                  	whiles              
(                   	(                   
ID                  	s                   
=                   	=                   
number              	0                   
)                   	)                   
;                   	;                   
ID                  	a                   
=                   	=                   
ID                  	fun                 
(                   	(                   
ID                  	a                   
,                   	,                   
ID                  	b                   
)                   	)                   
;                   	;                   
ID                  	switch              
(                   	(                   
ID                  	a                   
)                   	)                   
{                   	{                   
ID                  	case                
number              	0                   
:                   	:                   
ID                  	a                   
=                   	=                   
ID                  	a                   
+                   	+                   
number              	1                   
;                   	;                   
ID                  	break               
;                   	;                   
ID                  	case                
number              	2                   
:                   	:                   
ID                  	a                   
=                   	=                   
number              	1                   
;                   	;                   
ID                  	break               
;                   	;                   
}                   	}                   
}                   	}                   
int                 	int                 
ID                  	fun                 
(                   	(                   
int                 	int                 
ID                  	a                   
,                   	,                   
int                 	int                 
ID                  	b                   
[                   	[                   
]                   	]                   
)                   	)                   
{                   	{                   
if                  	if                  
(                   	(                   
ID                  	a                   
>                   	>                   
ID                  	b                   
)                   	)                   
ID                  	return              
ID                  	a                   
;                   	;                   
else                	else                
if                  	if                  
(                   	(                   
ID                  	a                   
doubleword          	==                  
ID                  	b                   
)                   	)                   
ID                  	return              
ID                  	b                   
;                   	;                   
else                	else                
ID                  	return              
number              	0                   
;                   	;                   
}                   	}                   
